key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
application/tamp-update,,,,5934,,,,,,,,
application/tamp-update-confirm,,,,5934,,,,,,,,
application/tei+xml,,,,6129,,,,,,,,
application/thraud+xml,,,,5941,,,,,,,,
application/timestamp-query,,,,3161,,,,,,,,
application/timestamp-reply,,,,3161,,,,,,,,
application/timestamped-data,,,,5955,,,,,,,,
application/ulpfec,,,,5109,,,,,,,,
application/vcard+json,,,,7095,,,,,,,,
application/vcard+xml,,,,6351,,,,,,,,
application/vemmi,,,,2122,,,,,,,,
application/voicexml+xml,,,,4267,,,,,,,,
application/vq-rtcpxr,,,,6035,,,,,,,,
application/watcherinfo+xml,,,,3858,,,,,,,,
application/whoispp-query,,,,2957,,,,,,,,
application/whoispp-response,,,,2958,,,,,,,,
application/widget,,,,,,,http://www.w3.org/TR/widgets/#media-type-registration-for-application/widget,W3C-Widgets-2012,,,,
application/x-www-form-urlencoded,,,,,,,http://www.w3.org/TR/html/iana.html#application/x-www-form-urlencoded,,,,,False
application/x400-bp,,,,1494,,,,,,,,
application/xacml+xml,,,,7061,,,,,,,,
application/xcap-att+xml,,,,4825,,,,,,,,
application/xcap-caps+xml,,,,4825,,,,,,,,
application/xcap-diff+xml,,,,5874,,,,,,,,
application/xcap-el+xml,,,,4825,,,,,,,,
application/xcap-error+xml,,,,4825,,,,,,,,
application/xcap-ns+xml,,,,4825,,,,,,,,
application/xcon-conference-info+xml,,,,6502,,,,,,,,
application/xcon-conference-info-diff+xml,,,,6502,,,,,,,,
application/xhtml+xml,,,,,,,http://www.w3.org/TR/html/iana.html#application/xhtml+xml,,,,,
application/xml,,,,7303,,,,,,,True,False
application/xml-dtd,,,,7303,,,,,,,,
application/xml-external-parsed-entity,,,,7303,,,,,,,,
application/xml-patch+xml,,,,7351,,,,,,,,True
application/xmpp+xml,,,,3923,,,,,,,,
application/xslt+xml,,,,,,,http://www.w3.org/TR/2007/REC-xslt20-20070123/#media-type-registration,,,,,
application/xv+xml,,,,4374,,,,,,,,
application/yang,,,,6020,,,,,,,,
application/yang-data+json,,,,8040,,,,,,,,
application/yang-data+xml,,,,8040,,,,,,,,
application/yang-patch+json,,,,8072,,,,,,,,
application/yang-patch+xml,,,,8072,,,,,,,,
application/yin+xml,,,,6020,,,,,,,,
application/zlib,,,,6713,,,,,,,,
audio/1d-interleaved-parityfec,,,,6015,,,,,,,,
audio/32kadpcm,,,,3802,,,,,,,,
audio/3gpp,,,,3839,,,,,,,,
audio/3gpp2,,,,4393,,,,,,,,
audio/ac3,,,,4184,,,,,,,,
audio/amr,,,,4867,,,,,,,,
audio/amr-wb,,,,4867,,,,,,,,
audio/amr-wb+,,,,4352,,,,,,,,
audio/aptx,,,,7310,,,,,,,,
audio/asc,,,,6295,,,,,,,,
audio/atrac-advanced-lossless,,,,5584,,,,,,,,
audio/atrac-x,,,,5584,,,,,,,,
audio/atrac3,,,,5584,,,,,,,,
audio/basic,,,,2045,,,,,,,,
audio/bv16,,,,4298,,,,,,,,
audio/bv32,,,,4298,,,,,,,,
audio/clearmode,,,,4040,,,,,,,,
audio/cn,,,,3389,,,,,,,,
audio/dat12,,,,3190,,,,,,,,
audio/dls,,,,4613,,,,,,,,
audio/dsr-es201108,,,,3557,,,,,,,,
audio/dsr-es202050,,,,4060,,,,,,,,
audio/dsr-es202211,,,,4060,,,,,,,,
audio/dsr-es202212,,,,4060,,,,,,,,
audio/dv,,,,6469,,,,,,,,
audio/dvi4,,,,4856,,,,,,,,
audio/eac3,,,,4598,,,,,,,,
audio/encaprtp,,,,6849,,,,,,,,
audio/evrc,,,,4788,,,,,,,,
audio/evrc-qcp,,,,3625,,,,,,,,
audio/evrc0,,,,4788,,,,,,,,
audio/evrc1,,,,4788,,,,,,,,
audio/evrcb,,,,5188,,,,,,,,
audio/evrcb0,,,,5188,,,,,,,,
audio/evrcb1,,,,4788,,,,,,,,
audio/evrcnw,,,,6884,,,,,,,,
audio/evrcnw0,,,,6884,,,,,,,,
audio/evrcnw1,,,,6884,,,,,,,,
audio/evrcwb,,,,5188,,,,,,,,
