key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,syntax_module,syntax_symbol,bad_for_connection,bad_for_trailer,for_request,for_response,iana_status,precondition,proactive_conneg,representation_metadata,rule
X-Device-Accept-Language,,,,,,,http://www.w3.org/2005/MWI/BPWG/,W3C Mobile Web Best Practices Working Group,,,,,,,,,,,
X-Device-User-Agent,,,,,,,http://www.w3.org/2005/MWI/BPWG/,W3C Mobile Web Best Practices Working Group,,,,,,,,,,,
X-Firefox-SPDY,,,,,,,,,,,,,,,,,,,
X-Forwarded-For,,,,,,,,,,,,,,,,,,,
X-Forwarded-Host,,,,,,,,,,,,,,,,,,,
X-Forwarded-Proto,,,,,,,,,,,,,,,,,,,
X-Frame-Options,,,,7034,,,,,,,,,,,informational,,,,
X-GitHub-Request-ID,,,,,,,,,,,,,,,,,,,
X-HTTP-Method-Override,,,,,,,,,,,,,,,,,,,
X-Powered-By,,,,,,,,,,,,,,,,,,,
X-Requested-With,,,,,,,,,,,,,,,,,,,
X-UA-Compatible,,,,,,,,,,,,,,,,,,,
X-UIDH,,,,,,,,,,,,,,,,,,,
X-Varnish,,,,,,,,,,,,,,,,,,,
X-Wap-Profile,,,,,,,,,,,,,,,,,,,
X-WebKit-CSP,,,,,,,,,,,,,,,,,,,
X-XSRF-Token,,,,,,,,,,,,,,,,,,,
X-XSS-Protection,,,,,,,,,,,,,,,,,,,
